Name of Institution,Affiliation Number,State,District,locality,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee,extra
MEMS English medium school,930796,KERALA,MALAPPURAM,ParappanangadiCalicut University,"MEMS English Medium School,Thenjipalam(po),Malappuram(Dt)",673636,"0494 2402643
                        ,","0494 2402643
                        ,",660867,660867,,mems_school@yahoo.co.in,,2002,6/1/2002 12:00:00 AM,Thankam A.,1,"BSc,MA,BEd.",,5,33,Secondary School,Provisional,1/4/2012,31/3/2017,Malabar Rashtrabharathy Trust(MRB Trust),
St. SOLDIER DIVINE PUBLIC SCHOOL,1630577,PUNJAB,HOSHIARPUR,TandaTanda`,"ST SOLDIER DIVINE PUBLIC SCHOOL GURU NANAK NAGAR, NEAR NEW GRAIN MARKET TANDA DISTT.HOSHIARPUR PB.INDIA",144212,"01886222680
                        ,","01886222680
                        ,",,,01886222680,munish_kumar_01@yahoo.com,http://www.stsoldierinstitutions.com,2005,4/1/2005 12:00:00 AM,MUNISH KUMAR VAID,0,MA(Maths)BSc BEd.,,9,9,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",St. Soldier Educational Society,
aryan international public school,2131360,uttar pradesh,MUZAFFARNAGAR,khataulijansath,"garhi road, jansath, Muzaffar Nagar,",251314,"9319691632
                        ,","9319691632
                        ,",272137,272137,,akashkumar2005@hotmail.com,,2008,4/1/2008 12:00:00 AM,Mr.manoj chauhan,2,"M.A,B.Ed",,3,3,Secondary School,Provisional,1/4/2015,31/3/2017,Ekta rural research introduction for keen activities foundation and charitable trust,
"DELHI PUBLIC SCHOOL, BARRA",2131349,uttar pradesh,KANPUR,GOVINDPURITHANA BARRA,"DELHI PUBLIC SCHOOL, MEHARBAN SINGH KA PURWA, BARRA, KANPUR",208002,"05122683514
                        ,","05122683514
                        ,",,,05122217861,dpsazadnagar@gmail.com,http://www.dpsbarra.com,2010,4/1/2010 12:00:00 AM,Mrs.SHILPA MANISH,0,"M.A., B.Ed",,5,15,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",SHYAM BEHARI MISRA MEMORIAL CHARITABLE TRUST,
"DR.K.K.R's GOWTHAM INTERNATIONAL SCHOOL,IIT FOUNDATION SCHOOL",130235,ANDHRA PRADESH,KRISHNA,NIDAMANURUPATAMATA,"OPP.INCAP CAPACITORS,NH-5,GUDAVALLI,VIJAYAWADA(RURAL),PIN-521104,",521104,"08666454884,08662084233
                        ,","08666454884,08662084233
                        ,",,,,kkr_gis@yahoo.co.in,http://www.gowthamconcept.net/index.htm,2007,6/26/2007 12:00:00 AM,PUSARLA MADHU,0,"M.A,B.ED",,4,13,Secondary School,Provisional,1/4/2012,31/3/2017,SRI GOWTHAM EDUCATIONAL SOCIETY," DR.K.K.R's GOWTHAM INTERNATIONAL SCHOOL,IIT FOUNDATION SCHOOL Affiliation Code:130235 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:OPP.INCAP CAPACITORS,NH-5,GUDAVALLI,VIJAYAWADA(RURAL),PIN-521104, Phone Num: STD Code:01636 PhNo: 08666454884,08662084233 , Fax: City: 521104 Email:kkr_gis@yahoo.co.in, Website:http://www.gowthamconcept.net/index.htm Courses of study offered: This school follows the CBSE curriculum"
Vanaprastha International School,1930256,TAMILNADU,SALEM,HousrBagalur,"Vanaprastha International School, Mugulappalli",635105,"04344291291
                        ,","04344291291
                        ,",,,,vanaprasth@gmail.com,http://www.vanaprastha.org,2005,6/6/2005 12:00:00 AM,Maria Xavier,0,BEd,,5,16,Secondary School,Provisional,1/4/2013,31/3/2018,Vanaprastha Educational Trust," Vanaprastha International School Affiliation Code:1930256 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Vanaprastha International School, Mugulappalli Phone Num: STD Code: PhNo: 04344291291 , Fax: City: 635105 Email:vanaprasth@gmail.com, Website:http://www.vanaprastha.org Courses of study offered: This school follows the CBSE curriculum"
Sri Saradha Nikethan Public School,130281,ANDHRA PRADESH,PRAKASAM,ChiralaMARTUR,"Sri Saradha Nikethan Public School 
Martur -523301",523301,"08404 271122
                        ,","08404 271122
                        ,",,,08404271124,srisaradhanikethanpcm444@gmail.com,0,june,6/18/2009 12:00:00 AM,K.Partha Saradhi,,Msc BEd,,5,5,Senior Secondary,,"31/
                    3/
                    2018",POLINENI CHINNAMMAI MEMORIAL TRUST,,
Saranya Concept School,130291,ANDHRA PRADESH,EAST GODAVARI,KakinadaKorangi,"Door.No.: 2-4/11,
G.Vemavaram - 533461
Koringa Post,
Thallarevu Mandal.",533461,"08842315267
                        ,","08842315267
                        ,",140117081,140117081,,saranyaconceptschoolgvm@gmail.com,,2009,6/13/2011 12:00:00 AM,Mrs.B.M.Kameswari,2,"M.A., M.Ed",,8,20,Secondary School,Provisional,1/4/2015,31/3/2020,Sreemath Upanishat Siddantha Acharya Peetham,
AWAGARH PUBLIC SCHOOL,2131228,uttar pradesh,ETAH,TundlaAwagarh,"Awagarh Public School,Jalesar Road,Awagarh,Etah,U.P.",207301,"09759212226/05745-318394
                        ,","09759212226/05745-318394
                        ,",5373341,5373341,05745-318394,awagarhpublicschool@yahoomail.com,,2005,4/1/2005 12:00:00 AM,Mr.Krishan Kumar Sisodiya,1,"M.Com, B.Ed",,,,Secondary School,Provisional,1/4/2014,31/3/2017,Seth Kishorilal varshney jan Kalyan Samiti," AWAGARH PUBLIC SCHOOL Affiliation Code:2131228 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Awagarh Public School,Jalesar Road,Awagarh,Etah,U.P. Phone Num: STD Code: PhNo: 05745-318394 , Fax: City: 207301 Email:awagarhpublicschool@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
DR. GUNDERT FOUNDATION SCHOOL,930805,KERALA,KANNUR,TELLICHERRYTELLICHERRY,"MAIN ROAD, TELLICHERRY KANNUR",670101,"04902326870
                        ,","04902326870
                        ,",,,,murkot@sancharnet.com,http://www.gundertfoundationschool.org,1996,6/3/1996 12:00:00 AM,PREETHA VALAVIL,0,M.A.Bed,,5,20,Secondary School,Provisional,1/4/2015,31/3/2020,GUNDERT FOUNDATION,
New Vision Public School,1130210,MAHARASHTRA,BEED,ParliAmbajogai,"New Vision Public School, Ring Road, Ambajogai",431517,"245678(02446)
                        ,","245678(02446)
                        ,",,,,newvisionschool@ymail.com,http://www.balajieducation.com,2004,6/21/2004 12:00:00 AM,Rajeshwari Ekbote,0,"B.Sc., M.A., M.Ed.",,15,18,Secondary School,Provisional,1/4/2013,31/3/2018,Shri. Balaji Shikshan Prasark Mandal," New Vision Public School Affiliation Code:1130210 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:New Vision Public School, Ring Road, Ambajogai Phone Num: STD Code:0240 PhNo: 245678(02446) , Fax: City: 431517 Email:nvpsa_principal@rediffmail.com, Website:http://www.balajieducation.com Courses of study offered: This school follows the CBSE curriculum"
Jesus Mary School,230090,ASSAM,BONGAIGAON,BijniBijni,"Jesus Mary School, Bhetagaon, Bijni -783390",783390,"03664284006
                        ,","03664284006
                        ,",2169103,2169103,,jmschool_bijni@yahoo.co.in,,2000,1/16/2000 12:00:00 AM,Sr.Tamilarasi,2,"B.Se,B.Ed",,10,10,Secondary School,Provisional,1/4/2012,31/3/2017,THE DIOCESE OF BONGAIGOAN," Jesus Mary School Affiliation Code:230090 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Jesus Mary School, Bhetagaon, Bijni -783390 Phone Num: STD Code:01668 PhNo: 03664284006 , Fax:2169103 City: 783390 Email:jmschool_bijni@yahoo.co.in, Website: Courses of study offered: This school follows the CBSE curriculum"
Holy Field Model Sr. Sec. School,531082,HARYANA,HISSAR,jindNarnaund,"Holy Field Model Sr. Sec. School ,Jind road ,Narnaund (Hissar)",125039,"01663-233188
                        ,","01663-233188
                        ,",,,,hfmschol@gmail.com,,2008,4/1/2009 12:00:00 AM,MissMamta,0,"M.A,M.Ed,M.Phil",,02,06,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Holy Field Education society,
sahil public school,2130930,uttar pradesh,GAUTAM BUDH NAGAR,DADRIBISRAKH,"sahil public school, village kherpur gujjar, post office bisrakh.",201301,"0120 - 4352223
                        ,","0120 - 4352223
                        ,",,,0120 - 4352223,sps_kherpur@rediffmail.com,,2006,4/3/2006 12:00:00 AM,Manjula Gupta,0,"M.A., Bed",,8,15,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",Akhil bhartiyagyan bharty vidyala samti,
MITHRA CENTRAL SCHOOL,930779,KERALA,KOLLAM,KARUNAGAPPALLYSOORANAD,"PATHARAM,SOORANAD SOUTH,
KUNNATHOOR, KOLLAM, PIN-690567
KERALA
S.INDIA.",690567,"04762852216, 3208111
                        ,","04762852216, 3208111
                        ,",0161-2772911,0161-2772911,,mcspatharam@yahoo.com,,2001,7/12/2000 12:00:00 AM,R. GEEETHAKUMARI,2,"M.A., B.Ed.",,1,8,Secondary School,Provisional,1/4/2008,31/3/2011,MITHRA VIDYALAYA EDUCATIONAL AND CHARITABLE SOCIETY,
"ST. FRANCIS HIGHER SECONDARY SCHOOL, PITHAMPUR",1030361,MADHYA PRADESH,DHAR,MhowPolice Station Pithampur,"ST. FRANCIS HIGHER SECONDARY SCHOOL, SECTOR 1, PITHAMPUR, DIST. DHAR",454775,"07292 407294
                        ,","07292 407294
                        ,",2758565,2758565,,sfspithampur@yahoo.com.in,,1995,7/1/1995 12:00:00 AM,SR. PHONSY JOSE,1,"M.A., B.ED.",,15,17,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018","ST. FRANCIS SOCIETY, PITHAMPUR",
RAJA DESING PUBLIC SCHOOL,1930434,TAMILNADU,VILLUPURAM,TINDIVANAMGINGEE,"KALAIYUR & POST,GINGEE TALUK, VILLUPURAM.",604206,"04145-235440,235235
                        ,","04145-235440,235235
                        ,",,,04145-235440,rdppublicschool@ymail.com,http://www.rdpschool.org,2011,6/1/2012 12:00:00 AM,Mrs.N.LAKSHMI,0,"B.Sc,B.Ed",,12,7,Secondary School,Provisional,1/4/2014,31/3/2017,RAJA DESINGH EDUCATIONAL TRUST,
VISHVA VEDANTA SCHOOL BEHIND OPEL SHOW ROOM KUMHARI DURG(C.G.) PIN-490044,3330130,CHATTISGARH,DURG,KUMARIKUMARI,VISHVA VEDANTA SCHOOL BEHIND OPEL SHOW ROOM KUMHARI DURG(C.G.) PIN-490044,490042,"0788-3204454
                        ,","0788-3204454
                        ,",,,,sunilchandrakar@yahoo.com,,2007,4/10/2007 12:00:00 AM,SUJATA DAS,0,"M.A. , B.Ed",,14,28,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",JAN GYANODAYA VIKAS SAMITI NARDAHA RAIPUR,
KENDRIYA VIDYALAYA,1500038,ORISSA,KANDHAMAL,-,"AT OLD AJO HIGH SCHOOL CAMPUS, NEAR OFFICE OF THE C.I. OF SCHOOLS, MAIN ROAD, PHULBANI, DISTT. KANDHMAL, ORISSA",762012,"255335
                        ,","255335
                        ,",,,,,,1986,4/1/1991 12:00:00 AM,BHAGABAN NAYAK,0,,,,,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2015",DIR. OF  EDUCATION,
Gems Cambridge International School,1630629,PUNJAB,HOSHIARPUR,hoshiarpurMT Hoshiarpur,"Gems Cambridge International School 
Jalandhar-Phagwara Byepass
Purhiran
hoshiarpur",146111,"01882-249312
                        ,","01882-249312
                        ,",,,01882-249313,gcish_principalhsp@yahoo.com,http://www.gemseducation.com,2008,11/3/2008 12:00:00 AM,Lorraine Mirza,0,"MA,B.SC,B.ED",,5,10,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Vasal Educational Society,
Shree Swaminarayan English Medium  School,430120,GUJARAT,VALSAD,VapiVapi,"Shree Swaminarayan English Medium School, N.H. No. 8, Salvav",396191,"0260- 6537909
                        ,","0260- 6537909
                        ,",260367,260367,,ssemhs4@gmail.com,,2000,6/6/2000 12:00:00 AM,Meenakshi Suresh Dhumal,2,MSc. BEd.,,1,8,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019",Shree Swaminarayan Shikshan Seva Kendra,
LIONS VOCATIONAL PUBLIC SCHOOL,1530134,ORISSA,BOLANGIR,BALANGIRPATNAGARH,"AT/PO-PATNAGARH
DISTRICT- BALANGIR",767025,"06658-222629
                        ,","06658-222629
                        ,",,,,lvps.ptg@gmail.com,,1986,6/1/1986 12:00:00 AM,KANHAI CHARAN THAKUR,0,"BSc, B.Ed",,1,1,Secondary School,Provisional,1/4/2013,31/3/2018,"LIONS CLUB, PATNAGARH",
samuels english medium school,630157,HIMACHAL PRADESH,KANGRA,MARANDAPALAMPUR,"b.p.o.bundla-tea-estate,p.o.palampur",176061,"01894-232749
                        ,","01894-232749
                        ,",,,011-45538314,samuelsschool@gmail.com,,1992,4/1/1992 12:00:00 AM,bhuwan sharma,0,"b.s.c , b.ed",,5,7,Secondary School,Provisional,1/4/2014,31/3/2019,samuels educational committee,
S.B.Model School,531083,HARYANA,ROHTAK,"Rohtak Jn.Shivaji Colony, Rohtak","Bhiwani Road, Rohtak, Haryana",124001,"01262216682
                        ,","01262216682
                        ,",,,,sbmodelschool@gmail.com,,2011,4/4/2011 12:00:00 AM,Mrs.Krishna Rohilla,2,"M.A.,M.Phil.,B.Ed.",,11,26,Secondary School,Provisional,1/4/2013,31/3/2016,"Neta Ji Education Society,Janta Colony,Rohtak",
Bal Bhavan International School,2730630,DELHI,south west delhi,"Palam Railway stationSector 16 , Dwarka","Bal Bhavan International School, Sector-12, Dwarka, Delhi - 75",110092,"011-28031077
                        ,","011-28031077
                        ,",,,,kunalguptasap@gmail.com,,2003,4/1/2003 12:00:00 AM,Kunal Gupta,0,"M.B.A, B.Tech, B.Ed",,4,4,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",LAGAN KALA UPVAN,
Tagore Sr. Sec. School,531037,HARYANA,KARNAL,NilokheriNilokheri,"Tagore Sr. Sec. School.
V.P.O.Sandhir
Teh.Nilokhri 
Distt. Karnal",132001,"09467561666
                        ,","09467561666
                        ,",,,,vkhorda@gmail.com,,2001,4/1/2001 12:00:00 AM,Mr.Jai Singh,,"M.A , B.Ed.",,10,30,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2015",Tagore Edu. Society,
K L E SOCIETY'S ENGLISH MEDIUM SCHOOL,830155,KARNATAKA,HAVERI,-,CONVENT SCHOOL IJASI LAKAMAPUR ROAD HAVERI KARNTAKA,581110,"236915
                        ,","236915
                        ,",,,,,,1999,6/2/2006 12:00:00 AM,SMT A M ALMEDIA,2,,,,,Secondary School,Provisional,1/4/2011,31/3/2016,KARNATAKA LINGAYATH EDN SOCIETY,
"k.l.e. society's school, saundatti",830450,KARNATAKA,BELGAUM,Dhrwad Railway StationSaundatti Police Station,"bus stand road, saundatti - 591126",591126,"08330223566
                        ,","08330223566
                        ,",,,08330223566,skleemssdt@yahoo.com,,1998,6/17/1998 12:00:00 AM,missvarsha s. gaonkar,0,"m.a. b, ed.",,8,10,Secondary School,Provisional,1/4/2015,31/3/2018,"the karnatak lingayat education society, belgaum.",
"DR K.K.R's GOWTHAM CONCEPT SCHOOL,IIT FOUNDATION SCHOOL",130229,ANDHRA PRADESH,HYDERABAD,secunderabadmoulali,"OPP.MANISHA GARDENS,MOULALI-ECIL X ROADS,",500040,"04032567788,04032568899
                        ,","04032567788,04032568899
                        ,",22458,22458,,kkr_gis@yahoo.co.in,http://www.gowthamconcept.net,2008,2/28/2008 12:00:00 AM,A.RATNA REDDY,2,"M.A,B.ED",,4,12,Secondary School,Provisional,1/4/2012,31/3/2017,SRI GOWTHAM EDUCATIONAL SOCIETY," DR K.K.R's GOWTHAM CONCEPT SCHOOL,IIT FOUNDATION SCHOOL Affiliation Code:130229 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:OPP.MANISHA GARDENS,MOULALI-ECIL X ROADS, Phone Num: STD Code:06152 PhNo: 04032567788,04032568899 , Fax:22458 City: 500040 Email:kkr_gis@yahoo.co.in, Website:http://www.gowthamconcept.net Courses of study offered: This school follows the CBSE curriculum"
KIDDYS CORNER PUBLIC SCHOOL,1030549,MADHYA PRADESH,GWALIOR,GWALIOR RAILWAY STATIONUNIVERSITY THANA GWALIOR,"KIDDYS CORNER PUBLIC SCHOOL, GANDHI ROAD, THATIPUR",474001,"0751-2346093
                        ,","0751-2346093
                        ,",,,,gargvarun78@yahoo.com,,2007,4/4/2007 12:00:00 AM,ANITA MULAK,0,"MA, BEd",,19,12,Secondary School,Provisional,1/4/2014,31/3/2019,SHRI KRISHAN DAS GARG SIKSHA PRASAR SAMITI," KIDDYS CORNER PUBLIC SCHOOL Affiliation Code:1030549 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:KIDDYS CORNER PUBLIC SCHOOL, GANDHI ROAD, THATIPUR Phone Num: STD Code: PhNo: 0751-2346093 , Fax: City: 474001 Email:gargvarun78@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"ST. MARY CHAMPION HR. SEC. SCHOOL, INDORE",1030494,MADHYA PRADESH,INDORE,INDORECHANDAN NAGAR,"ST. MARY CHAMPION HR. SEC. SCHOOL, NAVDAPANTH, DHAR ROAD, (NEAR STATE OF INDORE), INDORE",453001,"0731-2895443
                        ,","0731-2895443
                        ,",09897046664,09897046664,0731-4075604,principal_smchss@yahoo.com,,1994,7/1/1994 12:00:00 AM,ISABEL SWAMY,1,"M.A., B.ED.",,15,18,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",SOCIETY OF MOTHER MARY,
PARVATI RADHAKISHEN FOMRA SCHOOL,2131013,uttar pradesh,MATHURA,MATHURA JNHIGHWAY THANA,PARVATI RADHAKISHEN FOMRA SCHOOL VILLAGE KHAMNI GOVERDHAN ROAD MATHURA 281501,281501,"0565-2566023
                        ,","0565-2566023
                        ,",,,0565-2566023,kbjad@yahoo.com,,2007,4/16/2007 12:00:00 AM,KULBHUSHAN JAD,,M.A MEd,,12,20,Senior Secondary,,"31/
                    3/
                    2014",GD BIRLA MEDICAL RESEARCH AND  EDUCATION FOUNDATION MUMBAI,,
S.M.D PUBLIC SCHOOL (Sree Meenakshi Devaswam Public School),930852,KERALA,KOLLAM,KOLLAMKILIKOLLOOR,"PEROOR, T.K.M.C (P.O)
KOLLAM",691005,,"0474 2708239
                        ,",,,,smd_publicschool@yahoo.co.in,,2001,6/1/2001 12:00:00 AM,RASMI.M.R,0,"MA,BEd",,5,9,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",Sree Meenakshi Devaswaom Charitable Society. Reg.No.Q 234/06,
Vimalagiri Public School,931005,KERALA,THRISSUR,ThrissurViyyur,"Vimalagiri Public School,KundukadP.O,Karuvankad,Thrissur,Kerala",680028,"0487-2693670
                        ,","0487-2693670
                        ,",,,,vimalagirithrissur@gmail.com,,2004,5/31/2006 12:00:00 AM,Mrs.Reena Roy,0,"M.Sc,B.Ed",,7,10,Secondary School,Provisional,1/4/2013,31/3/2016,VimalagiriVidyapeetam," Vimalagiri Public School Affiliation Code:931005 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Vimalagiri Public School,KundukadP.O,Karuvankad,Thrissur,Kerala Phone Num: STD Code: PhNo: 0487-2693670 , Fax: City: 680028 Email:vimalagirithrissur@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
VISHWA JYOTI CONVENT SCHOOL,1130376,MAHARASHTRA,CHANDRAPUR,CHANDRAPURTALODHI BALAPUR,"VISHWA JYOTI CONVENT SCHOOL,TALODHI BALAPUR,DISTT.CHANDRAPUR",441221,"09923983882
                        ,","09923983882
                        ,",,,,rajpal.mbd_nagpur@yahoo.com,,2007,6/15/2007 12:00:00 AM,MissSr.ANIT,,"B.A,B.ED",,3,7,Secondary School,Provisional,1/4/2012,31/3/2015,"VISHWA JYOTI CHARITABLE SOCIETY,TALODHI"," VISHWA JYOTI CONVENT SCHOOL Affiliation Code:1130376 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:VISHWA JYOTI CONVENT SCHOOL,TALODHI BALAPUR,DISTT.CHANDRAPUR Phone Num: STD Code: PhNo: 09923983882 , Fax: City: 441221 Email:rajpal.mbd_nagpur@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"SIDDHARTHA CENTRAL SCHOOL,PUTHOOR",930890,KERALA,KOLLAM,KOTTARAKKARAPUTHUR,"SIDDHARTHACENTRAL SCHOOL,PUTHUR,KOLLAM(DIST)KERALA ,INDIA 691507",690507,"04742417461,62,
                        ,","04742417461,62,
                        ,",,,0474417460,ksgopakumar.siddh@yahoo.in,,2005,6/1/2005 12:00:00 AM,Mr.M V ABRAHAM,,"MA,B. Ed",,3,30,Secondary School,Provisional,1/4/2012,31/3/2015,MINIMOLE MEMMORIAL CHARITABLE TRUST," SIDDHARTHA CENTRAL SCHOOL,PUTHOOR Affiliation Code:930890 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:SIDDHARTHACENTRAL SCHOOL,PUTHUR,KOLLAM(DIST)KERALA ,INDIA 691507 Phone Num: STD Code: PhNo: 04742417461,62, , Fax: City: 690507 Email:ksgopakumar.siddh@yahoo.in, Website: Courses of study offered: This school follows the CBSE curriculum"
SHIKSHA HIGH SCHOOL,1730393,RAJASTHAN,BIKANER,Bikaner JunctionVyas Colony,"Shiksha High School, 
Camel Farm Road, Shiv Bari, Bikaner, Rajasthan",334001,"0151-3295111
                        ,","0151-3295111
                        ,",,,,shiksha_high@yahoo.com,,2005,3/31/2005 12:00:00 AM,DR. D.K. Mishra,,"M.Sc., Ph.D., B.Ed.",,6,10,Senior Secondary,,"31/
                    3/
                    2014",INTEGRATED FOR HUMAN SERVICES SOCIETY,,
